DATE,DEXSFUS
1999-01-04,5.8675
1999-01-05,5.7625
1999-01-06,5.6775
1999-01-07,5.8400
1999-01-08,5.8350
1999-01-11,5.9800
1999-01-12,6.0330
1999-01-13,6.1250
1999-01-14,6.2400
1999-01-15,6.0800
1999-01-18,6.0800
1999-01-19,6.0550
1999-01-20,6.0250
1999-01-21,6.0700
1999-01-22,6.0450
1999-01-25,6.0525
1999-01-26,6.0400
1999-01-27,6.0250
1999-01-28,6.0450
1999-01-29,6.0700
1999-02-01,6.0410
1999-02-02,6.0100
1999-02-03,6.0150
1999-02-04,6.0500
1999-02-05,5.9750
1999-02-08,5.9650
1999-02-09,6.1000
1999-02-10,6.0895
1999-02-11,6.0700
1999-02-12,6.1055
1999-02-15,6.1055
1999-02-16,6.1350
1999-02-17,6.1600
1999-02-18,6.1800
1999-02-19,6.2600
1999-02-22,6.2000
1999-02-23,6.2225
1999-02-24,6.2045
1999-02-25,6.1900
1999-02-26,6.2050
1999-03-01,6.2325
1999-03-02,6.2475
1999-03-03,6.2500
1999-03-04,6.2490
1999-03-05,6.2130
1999-03-08,6.2000
1999-03-09,6.1675
1999-03-10,6.1475
1999-03-11,6.1600
1999-03-12,6.1850
1999-03-15,6.2150
1999-03-16,6.2570
1999-03-17,6.2320
1999-03-18,6.2600
1999-03-19,6.1900
1999-03-22,6.1750
1999-03-23,6.2400
1999-03-24,6.2025
1999-03-25,6.2050
1999-03-26,6.2650
1999-03-29,6.2335
1999-03-30,6.2150
1999-03-31,6.1700
1999-04-01,6.1700
1999-04-02,6.1750
1999-04-05,6.1650
1999-04-06,6.1725
1999-04-07,6.1950
1999-04-08,6.2200
1999-04-09,6.1800
1999-04-12,6.1750
1999-04-13,6.1100
1999-04-14,6.0750
1999-04-15,6.1040
1999-04-16,6.1100
1999-04-19,6.0475
1999-04-20,6.0825
1999-04-21,6.0825
1999-04-22,6.0900
1999-04-23,6.0980
1999-04-26,6.0730
1999-04-27,6.0700
1999-04-28,6.0650
1999-04-29,6.0635
1999-04-30,6.0850
1999-05-03,6.0575
1999-05-04,6.0635
1999-05-05,6.1115
1999-05-06,6.0950
1999-05-07,6.1420
1999-05-10,6.1720
1999-05-11,6.1660
1999-05-12,6.2075
1999-05-13,6.2160
1999-05-14,6.2235
1999-05-17,6.1925
1999-05-18,6.1550
1999-05-19,6.1850
1999-05-20,6.2150
1999-05-21,6.2025
1999-05-24,6.2150
1999-05-25,6.2325
1999-05-26,6.2625
1999-05-27,6.2700
1999-05-28,6.2325
1999-05-31,6.2325
1999-06-01,6.2100
1999-06-02,6.2085
1999-06-03,6.1975
1999-06-04,6.1600
1999-06-07,6.0900
1999-06-08,6.1080
1999-06-09,6.1340
1999-06-10,6.1350
1999-06-11,6.0800
1999-06-14,6.0970
1999-06-15,6.0925
1999-06-16,6.0830
1999-06-17,6.0410
1999-06-18,5.9970
1999-06-21,6.0150
1999-06-22,5.9800
1999-06-23,6.0400
1999-06-24,6.0700
1999-06-25,6.0660
1999-06-28,6.0575
1999-06-29,6.0350
1999-06-30,6.0380
1999-07-01,6.0350
1999-07-02,6.0250
1999-07-05,6.0250
1999-07-06,6.0550
1999-07-07,6.0510
1999-07-08,6.0700
1999-07-09,6.1150
1999-07-12,6.1450
1999-07-13,6.1535
1999-07-14,6.1525
1999-07-15,6.1455
1999-07-16,6.1510
1999-07-19,6.1700
1999-07-20,6.1260
1999-07-21,6.1075
1999-07-22,6.1162
1999-07-23,6.1150
1999-07-26,6.1400
1999-07-27,6.1300
1999-07-28,6.1470
1999-07-29,6.1675
1999-07-30,6.1650
1999-08-02,6.2000
1999-08-03,6.1950
1999-08-04,6.1550
1999-08-05,6.1775
1999-08-06,6.1775
1999-08-09,6.1650
1999-08-10,6.1725
1999-08-11,6.1430
1999-08-12,6.1140
1999-08-13,6.1100
1999-08-16,6.1050
1999-08-17,6.1225
1999-08-18,6.1260
1999-08-19,6.1200
1999-08-20,6.1125
1999-08-23,6.0790
1999-08-24,6.0975
1999-08-25,6.1140
1999-08-26,6.0950
1999-08-27,6.0975
1999-08-30,6.0910
1999-08-31,6.0950
1999-09-01,6.0320
1999-09-02,6.0475
1999-09-03,6.0120
1999-09-06,6.0120
1999-09-07,6.0500
1999-09-08,6.0920
1999-09-09,6.0800
1999-09-10,6.0650
1999-09-13,6.0675
1999-09-14,6.0775
1999-09-15,6.1275
1999-09-16,6.1280
1999-09-17,6.0945
1999-09-20,6.0850
1999-09-21,6.0650
1999-09-22,6.0700
1999-09-23,6.0400
1999-09-24,6.0450
1999-09-27,6.0160
1999-09-28,5.9800
1999-09-29,6.0050
1999-09-30,6.0025
1999-10-01,6.0150
1999-10-04,5.9965
1999-10-05,5.9860
1999-10-06,6.0500
1999-10-07,6.0480
1999-10-08,6.0450
1999-10-11,6.0450
1999-10-12,6.0775
1999-10-13,6.1200
1999-10-14,6.1187
1999-10-15,6.1350
1999-10-18,6.1585
1999-10-19,6.1375
1999-10-20,6.1265
1999-10-21,6.1475
1999-10-22,6.1375
1999-10-25,6.1360
1999-10-26,6.1640
1999-10-27,6.1610
1999-10-28,6.1530
1999-10-29,6.1450
1999-11-01,6.1575
1999-11-02,6.1550
1999-11-03,6.1375
1999-11-04,6.1250
1999-11-05,6.1100
1999-11-08,6.1210
1999-11-09,6.1290
1999-11-10,6.1335
1999-11-11,6.1335
1999-11-12,6.1200
1999-11-15,6.1490
1999-11-16,6.1530
1999-11-17,6.1500
1999-11-18,6.1465
1999-11-19,6.1380
1999-11-22,6.1390
1999-11-23,6.1390
1999-11-24,6.1320
1999-11-25,6.1320
1999-11-26,6.1440
1999-11-29,6.1900
1999-11-30,6.1780
1999-12-01,6.1550
1999-12-02,6.1530
1999-12-03,6.1570
1999-12-06,6.1570
1999-12-07,6.1580
1999-12-08,6.1560
1999-12-09,6.1480
1999-12-10,6.1220
1999-12-13,6.1275
1999-12-14,6.1300
1999-12-15,6.1575
1999-12-16,6.1420
1999-12-17,6.1475
1999-12-20,6.1400
1999-12-21,6.1490
1999-12-22,6.1525
1999-12-23,6.1500
1999-12-24,6.1600
1999-12-27,6.1580
1999-12-28,6.1530
1999-12-29,6.1650
1999-12-30,6.1585
1999-12-31,6.1600
2000-01-03,6.1260
2000-01-04,6.0850
2000-01-05,6.0700
2000-01-06,6.0800
2000-01-07,6.0570
2000-01-10,6.0765
2000-01-11,6.0900
2000-01-12,6.0685
2000-01-13,6.0570
2000-01-14,6.0750
2000-01-17,6.0750
2000-01-18,6.0890
2000-01-19,6.1140
2000-01-20,6.1000
2000-01-21,6.1280
2000-01-24,6.1675
2000-01-25,6.1617
2000-01-26,6.1750
2000-01-27,6.2270
2000-01-28,6.3575
2000-01-31,6.3125
2000-02-01,6.2800
2000-02-02,6.2825
2000-02-03,6.2575
2000-02-04,6.2860
2000-02-07,6.2905
2000-02-08,6.2990
2000-02-09,6.3200
2000-02-10,6.3425
2000-02-11,6.3610
2000-02-14,6.3550
2000-02-15,6.3550
2000-02-16,6.3375
2000-02-17,6.3250
2000-02-18,6.3250
2000-02-21,6.3250
2000-02-22,6.3130
2000-02-23,6.3350
2000-02-24,6.3290
2000-02-25,6.3120
2000-02-28,6.3725
2000-02-29,6.3400
2000-03-01,6.3525
2000-03-02,6.3680
2000-03-03,6.4900
2000-03-06,6.5000
2000-03-07,6.5230
2000-03-08,6.4825
2000-03-09,6.4025
2000-03-10,6.3875
2000-03-13,6.4350
2000-03-14,6.4400
2000-03-15,6.4750
2000-03-16,6.4500
2000-03-17,6.4700
2000-03-20,6.4920
2000-03-21,6.4840
2000-03-22,6.4575
2000-03-23,6.4780
2000-03-24,6.4835
2000-03-27,6.4650
2000-03-28,6.4900
2000-03-29,6.5125
2000-03-30,6.5790
2000-03-31,6.5350
2000-04-03,6.5650
2000-04-04,6.5600
2000-04-05,6.6025
2000-04-06,6.5750
2000-04-07,6.5610
2000-04-10,6.5550
2000-04-11,6.5925
2000-04-12,6.5740
2000-04-13,6.5645
2000-04-14,6.5835
2000-04-17,6.6210
2000-04-18,6.6100
2000-04-19,6.6380
2000-04-20,6.7020
2000-04-21,6.7400
2000-04-24,6.7325
2000-04-25,6.7305
2000-04-26,6.8050
2000-04-27,6.8650
2000-04-28,6.7830
2000-05-01,6.7850
2000-05-02,6.7750
2000-05-03,6.8450
2000-05-04,6.9225
2000-05-05,6.9400
2000-05-08,6.9400
2000-05-09,7.0900
2000-05-10,7.0755
2000-05-11,6.9750
2000-05-12,7.0400
2000-05-15,7.0400
2000-05-16,7.0725
2000-05-17,7.1175
2000-05-18,7.1340
2000-05-19,7.1800
2000-05-22,7.1175
2000-05-23,7.0550
2000-05-24,7.1180
2000-05-25,7.1475
2000-05-26,7.1350
2000-05-29,7.1350
2000-05-30,7.0515
2000-05-31,6.9675
